MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 500000
0 Meta TrkEnd
TrkEnd
MTrk
6240 On ch=1 n=72 v=0
6240 On ch=1 n=64 v=0
6240 On ch=1 n=70 v=0
6240 On ch=1 n=67 v=0
6408 On ch=1 n=77 v=80
6408 On ch=1 n=70 v=80
6408 On ch=1 n=67 v=80
6456 On ch=1 n=77 v=0
6456 On ch=1 n=70 v=0
6456 On ch=1 n=67 v=0
6480 On ch=1 n=76 v=80
6480 On ch=1 n=70 v=80
6480 On ch=1 n=67 v=80
6528 On ch=1 n=76 v=0
6528 On ch=1 n=70 v=0
6528 On ch=1 n=67 v=0
6911 On ch=1 n=65 v=80
6936 On ch=1 n=65 v=0
6948 On ch=1 n=67 v=80
6972 On ch=1 n=67 v=0
6983 On ch=1 n=68 v=80
7008 On ch=1 n=68 v=0
7020 On ch=1 n=72 v=80
7044 On ch=1 n=72 v=0
7056 On ch=1 n=77 v=80
7056 On ch=1 n=65 v=80
7080 On ch=1 n=77 v=0
7080 On ch=1 n=65 v=0
7091 On ch=1 n=79 v=80
7091 On ch=1 n=67 v=80
7116 On ch=1 n=79 v=0
7116 On ch=1 n=67 v=0
7128 On ch=1 n=80 v=80
7128 On ch=1 n=68 v=80
7152 On ch=1 n=80 v=0
7152 On ch=1 n=68 v=0
7163 On ch=1 n=84 v=80
7163 On ch=1 n=72 v=80
7188 On ch=1 n=84 v=0
7188 On ch=1 n=72 v=0
7200 On ch=1 n=77 v=80
7200 On ch=1 n=89 v=80
7200 On ch=1 n=62 v=80
7200 On ch=1 n=65 v=80
7200 On ch=1 n=68 v=80
7200 On ch=1 n=71 v=80
7248 On ch=1 n=77 v=0
7248 On ch=1 n=89 v=0
7248 On ch=1 n=62 v=0
7248 On ch=1 n=65 v=0
7248 On ch=1 n=68 v=0
7248 On ch=1 n=71 v=0
7271 On ch=1 n=79 v=80
7271 On ch=1 n=91 v=80
7271 On ch=1 n=62 v=80
7271 On ch=1 n=65 v=80
7271 On ch=1 n=68 v=80
7271 On ch=1 n=71 v=80
7296 On ch=1 n=79 v=0
7296 On ch=1 n=91 v=0
7308 On ch=1 n=89 v=80
7308 On ch=1 n=77 v=80
7319 On ch=1 n=62 v=0
7319 On ch=1 n=65 v=0
7319 On ch=1 n=68 v=0
7319 On ch=1 n=71 v=0
7343 On ch=1 n=62 v=80
7343 On ch=1 n=65 v=80
7343 On ch=1 n=68 v=80
7343 On ch=1 n=71 v=80
7356 On ch=1 n=89 v=0
7356 On ch=1 n=77 v=0
7380 On ch=1 n=79 v=80
7380 On ch=1 n=91 v=80
7391 On ch=1 n=62 v=0
7391 On ch=1 n=65 v=0
7391 On ch=1 n=68 v=0
7391 On ch=1 n=71 v=0
7404 On ch=1 n=79 v=0
7404 On ch=1 n=91 v=0
7416 On ch=1 n=89 v=80
7416 On ch=1 n=77 v=80
7416 On ch=1 n=62 v=80
7416 On ch=1 n=65 v=80
7416 On ch=1 n=68 v=80
7416 On ch=1 n=71 v=80
7440 On ch=1 n=89 v=0
7440 On ch=1 n=77 v=0
7451 On ch=1 n=77 v=80
7451 On ch=1 n=89 v=80
7463 On ch=1 n=62 v=0
7463 On ch=1 n=65 v=0
7463 On ch=1 n=68 v=0
7463 On ch=1 n=71 v=0
7488 On ch=1 n=72 v=80
7488 On ch=1 n=68 v=80
7488 On ch=1 n=63 v=80
7499 On ch=1 n=77 v=0
7499 On ch=1 n=89 v=0
7523 On ch=1 n=87 v=80
7536 On ch=1 n=72 v=0
7536 On ch=1 n=68 v=0
7536 On ch=1 n=63 v=0
7548 On ch=1 n=87 v=0
7560 On ch=1 n=84 v=80
7560 On ch=1 n=63 v=80
7560 On ch=1 n=68 v=80
7560 On ch=1 n=72 v=80
7584 On ch=1 n=84 v=0
7596 On ch=1 n=82 v=80
7608 On ch=1 n=63 v=0
7608 On ch=1 n=68 v=0
7608 On ch=1 n=72 v=0
7620 On ch=1 n=82 v=0
7631 On ch=1 n=80 v=80
7631 On ch=1 n=72 v=80
7631 On ch=1 n=68 v=80
7631 On ch=1 n=66 v=80
7656 On ch=1 n=80 v=0
7668 On ch=1 n=87 v=80
7679 On ch=1 n=72 v=0
7679 On ch=1 n=68 v=0
7679 On ch=1 n=66 v=0
7704 On ch=1 n=72 v=80
7704 On ch=1 n=68 v=80
7704 On ch=1 n=66 v=80
7716 On ch=1 n=87 v=0
7740 On ch=1 n=85 v=80
7752 On ch=1 n=72 v=0
7752 On ch=1 n=68 v=0
7752 On ch=1 n=66 v=0
7776 On ch=1 n=73 v=80
7776 On ch=1 n=68 v=80
7776 On ch=1 n=65 v=80
7788 On ch=1 n=85 v=0
7811 On ch=1 n=82 v=80
7824 On ch=1 n=73 v=0
7824 On ch=1 n=68 v=0
7824 On ch=1 n=65 v=0
7836 On ch=1 n=82 v=0
7847 On ch=1 n=94 v=80
7847 On ch=1 n=73 v=80
7847 On ch=1 n=68 v=80
7847 On ch=1 n=64 v=80
7871 On ch=1 n=94 v=0
7884 On ch=1 n=92 v=80
7896 On ch=1 n=73 v=0
7896 On ch=1 n=68 v=0
7896 On ch=1 n=64 v=0
7908 On ch=1 n=92 v=0
7920 On ch=1 n=80 v=80
7920 On ch=1 n=72 v=80
7920 On ch=1 n=68 v=80
7920 On ch=1 n=63 v=80
7944 On ch=1 n=80 v=0
7956 On ch=1 n=84 v=80
7968 On ch=1 n=72 v=0
7968 On ch=1 n=68 v=0
7968 On ch=1 n=63 v=0
7991 On ch=1 n=72 v=80
7991 On ch=1 n=68 v=80
7991 On ch=1 n=63 v=80
8004 On ch=1 n=84 v=0
8027 On ch=1 n=89 v=80
8040 On ch=1 n=72 v=0
8040 On ch=1 n=68 v=0
8040 On ch=1 n=63 v=0
8051 On ch=1 n=89 v=0
8064 On ch=1 n=87 v=80
8064 On ch=1 n=73 v=80
8064 On ch=1 n=67 v=80
8064 On ch=1 n=63 v=80
8088 On ch=1 n=87 v=0
8100 On ch=1 n=82 v=80
8112 On ch=1 n=73 v=0
8112 On ch=1 n=67 v=0
8112 On ch=1 n=63 v=0
8124 On ch=1 n=82 v=0
8136 On ch=1 n=83 v=80
8136 On ch=1 n=63 v=80
8136 On ch=1 n=67 v=80
8136 On ch=1 n=73 v=80
8160 On ch=1 n=83 v=0
8171 On ch=1 n=84 v=80
8184 On ch=1 n=63 v=0
8184 On ch=1 n=67 v=0
8184 On ch=1 n=73 v=0
8207 On ch=1 n=72 v=80
8207 On ch=1 n=68 v=80
8207 On ch=1 n=63 v=80
8220 On ch=1 n=84 v=0
8244 On ch=1 n=74 v=80
8256 On ch=1 n=72 v=0
8256 On ch=1 n=68 v=0
8256 On ch=1 n=63 v=0
8268 On ch=1 n=74 v=0
8280 On ch=1 n=75 v=80
8280 On ch=1 n=63 v=80
8280 On ch=1 n=68 v=80
8280 On ch=1 n=72 v=80
8304 On ch=1 n=75 v=0
8316 On ch=1 n=77 v=80
8316 On ch=1 n=65 v=80
8328 On ch=1 n=63 v=0
8328 On ch=1 n=68 v=0
8328 On ch=1 n=72 v=0
8412 On ch=1 n=77 v=0
8412 On ch=1 n=65 v=0
8424 On ch=1 n=67 v=80
8424 On ch=1 n=79 v=80
8448 On ch=1 n=67 v=0
8448 On ch=1 n=79 v=0
8460 On ch=1 n=65 v=80
8460 On ch=1 n=77 v=80
8508 On ch=1 n=65 v=0
8508 On ch=1 n=77 v=0
8532 On ch=1 n=79 v=80
8532 On ch=1 n=67 v=80
8556 On ch=1 n=79 v=0
8556 On ch=1 n=67 v=0
8567 On ch=1 n=65 v=80
8567 On ch=1 n=77 v=80
8592 On ch=1 n=65 v=0
8592 On ch=1 n=77 v=0
8604 On ch=1 n=77 v=80
8604 On ch=1 n=65 v=80
8652 On ch=1 n=77 v=0
8652 On ch=1 n=65 v=0
8676 On ch=1 n=75 v=80
8700 On ch=1 n=75 v=0
8712 On ch=1 n=72 v=80
8736 On ch=1 n=72 v=0
8747 On ch=1 n=70 v=80
8772 On ch=1 n=70 v=0
8784 On ch=1 n=68 v=80
8808 On ch=1 n=68 v=0
8820 On ch=1 n=75 v=80
8868 On ch=1 n=75 v=0
8892 On ch=1 n=73 v=80
8940 On ch=1 n=73 v=0
8964 On ch=1 n=70 v=80
8988 On ch=1 n=70 v=0
9000 On ch=1 n=82 v=80
9024 On ch=1 n=82 v=0
9036 On ch=1 n=80 v=80
9060 On ch=1 n=80 v=0
9072 On ch=1 n=72 v=80
9096 On ch=1 n=72 v=0
9107 On ch=1 n=77 v=80
9107 On ch=1 n=68 v=80
9156 On ch=1 n=77 v=0
9156 On ch=1 n=68 v=0
9180 On ch=1 n=75 v=80
9204 On ch=1 n=75 v=0
9216 On ch=1 n=62 v=80
9216 On ch=1 n=68 v=80
9240 On ch=1 n=68 v=0
9252 On ch=1 n=70 v=80
9264 On ch=1 n=62 v=0
9276 On ch=1 n=70 v=0
9287 On ch=1 n=61 v=80
9287 On ch=1 n=67 v=80
9287 On ch=1 n=70 v=80
9336 On ch=1 n=61 v=0
9336 On ch=1 n=67 v=0
9336 On ch=1 n=70 v=0
9360 On ch=1 n=60 v=80
9360 On ch=1 n=68 v=80
9408 On ch=1 n=60 v=0
9408 On ch=1 n=68 v=0
9432 On ch=1 n=75 v=80
9480 On ch=1 n=75 v=0
